"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
20521	"Sinap 32"	8.25	8.9	7.6	"Artiodactyla"	"indet."	"\N"	"indet."	"Ruminantia"
20521	"Sinap 32"	8.25	8.9	7.6	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
24897	"Strumyani 1"	8.25	8.9	7.6	"Proboscidea"	"indet."	"\N"	"indet."	"-"
24897	"Strumyani 1"	8.25	8.9	7.6	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"large"
24898	"Strumyani 2"	8.25	8.9	7.6	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
24898	"Strumyani 2"	8.25	8.9	7.6	"Proboscidea"	"indet."	"\N"	"indet."	"-"
24898	"Strumyani 2"	8.25	8.9	7.6	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"small"
20581	"Vivero de Pinos"	8.25	8.9	7.6	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20581	"Vivero de Pinos"	8.25	8.9	7.6	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20581	"Vivero de Pinos"	8.25	8.9	7.6	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20581	"Vivero de Pinos"	8.25	8.9	7.6	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20523	"Sinap 34"	8.5355	8.771	8.3	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20523	"Sinap 34"	8.5355	8.771	8.3	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20136	"Arkneti"	8.95333333333335	9.88	8.0266666666667	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20136	"Arkneti"	8.95333333333335	9.88	8.0266666666667	"Artiodactyla"	"Giraffidae"	"Sivatheriinae"	"indet."	"-"
20294	"Ravin de la Pluie (RPL)"	9.3685	9.426	9.311	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20529	"Sinap 49"	9.3685	9.426	9.311	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"large"
20529	"Sinap 49"	9.3685	9.426	9.311	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
24833	"Cerro de los Batallones 1"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"Rhinocerotina"	"indet."	"-"
28701	"Cerro de los Batallones 10"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"Rhinocerotina"	"indet."	"-"
28701	"Cerro de los Batallones 10"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"Aceratheriina"	"indet."	"-"
28707	"Cerro de los Batallones 2"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"Rhinocerotina"	"indet."	"-"
28705	"Cerro de los Batallones 5"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"Rhinocerotina"	"indet."	"-"
28705	"Cerro de los Batallones 5"	9.4	9.9	8.9	"Artiodactyla"	"Moschidae"	"\N"	"indet."	"-"
28703	"Cerro de los Batallones 7"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
24878	"kastellios K east"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
24875	"Kastellios K2"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
24875	"Kastellios K2"	9.4	9.9	8.9	"Artiodactyla"	"Palaeochoeridae"	"Taucanaminae"	"indet."	"Taucanamo/Yunanochoerus"
