"LIDNUM"	"NAME"	"COUNTRY"	"LAT"	"LONG"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"BFA_MAX"	"BFA_MIN"	"MEAN_HYPSODONTY"	"n_loc"	"mn_HYP"	"mn_HYP_boo"	"sd_HYP_boo"
27283	"Cléré-les-Pins MN5"	"France"	47.4256399	0.389959	15.3	16.4	14.2	"mn5"	"mn5"	"1.06"	18	1.06	1.05	0.06
22343	"Contres MN 5"	"France"	47.417	1.433	15.3	16.4	14.2	"mn5"	"mn5"	"1.06"	17	1.06	1.05	0.05
27284	"Dénezé-sous-le-Lude MN5"	"France"	47.5295117	0.1332825	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	13	1	1	0
24290	"Edelbeuren-Schlachtberg"	"Germany"	48.0936	10.0219	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	5	1	1	0
27475	"Endomime"	"France"	43.7235558	0.7294519	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	4	1	1	0
20013	"Esvres - Marine Faluns"	"France"	47.3	0.8	15.3	16.4	14.2	"mn5"	"mn5"	"1.11"	27	1.11	1.12	0.09
27285	"Genneteil MN5"	"France"	47.5922046	0.0494674	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	7	1	1	0
20011	"Göriach"	"Austria"	47.55	15.3	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	15	1	1	0
24304	"Heggbach"	"Germany"	48.1503	9.8981	15.3	16.4	14.2	"mn5"	"mn5"	"1.11"	9	1.11	1.12	0.11
27286	"Hommes MN5"	"France"	47.4252487	0.2965094	15.3	16.4	14.2	"mn5"	"mn5"	"1.14"	22	1.14	1.13	0.09
21114	"Hüllistein"	"Switzerland"	47.2472222222222	8.83833333333333	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	4	1	1	0
20097	"La Condoue"	"France"	43.9	0.8	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	8	1	1	0
27474	"La Pousterle"	"France"	43.7605291	0.7315326	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
27287	"Lasse MN5"	"France"	47.5364804	0.010832	15.3	16.4	14.2	"mn5"	"mn5"	"1.05"	20	1.05	1.05	0.04
23066	"Meigné-le-Vicomte MN5"	"France"	47.5097694	0.1908007	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	18	1	1	0
27289	"Méon MN5"	"France"	47.4947888	0.1194294	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	12	1	1	0
27290	"Noyant-sous-le-Lude MN5"	"France"	47.5125892	0.11412	15.3	16.4	14.2	"mn5"	"mn5"	"1.04"	26	1.04	1.04	0.04
27291	"Pont-Boutard MN5"	"France"	47.3315751	0.325279	15.3	16.4	14.2	"mn5"	"mn5"	"1.05"	19	1.05	1.05	0.05
27292	"Pontigné MN5"	"France"	47.5475877	-0.0410218	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	24	1	1	0
21461	"Poudenas-Peyrecrechen"	"France"	44.05	0.217	15.3	16.4	14.2	"mn5"	"mn5"	"1.09"	11	1.09	1.08	0.09
27293	"Rillé MN5"	"France"	47.4495752	0.2478435	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	12	1	1	0
21464	"Rimbez - Lapeyrie base"	"France"	44.033	0.033	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	10	1	1	0
27294	"Saint Laurent-de-Lin MN5"	"France"	47.5067537	0.2578044	15.3	16.4	14.2	"mn5"	"mn5"	"1.09"	11	1.09	1.09	0.09
20017	"Sandelzhausen"	"Germany"	48.6278	11.8044	15.3	16.4	14.2	"mn5"	"mn5"	"1.07"	13	1.08	1.08	0.08
21465	"Savigné-sur-Lathan MN5"	"France"	47.45	0.317	15.3	16.4	14.2	"mn5"	"mn5"	"1.04"	25	1.04	1.03	0.04
20430	"Seegraben (Leoben)"	"Austria"	47.4	15.1	15.3	16.4	14.2	"mn5"	"mn5"	"1.17"	5	1	1	0
27431	"St-Symphorien-les-Ponceaux MN5"	"France"	47.4058542	0.330477	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
20082	"Häder"	"Germany"	48.21	10.38	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	7	1	1	0
27423	"Courcelles-de-Touraine MN5"	"France"	47.4823448	0.3076904	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
20122	"Gisseltshausen"	"Germany"	48.7	11.95	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	4	1	1	0
21639	"Montejo de la Vega"	"Spain"	41.55	-3.65	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	5	1	1	0
20039	"Tarazona"	"Spain"	41.9027715	-1.7254	15.3	16.4	14.2	"mn5"	"mn5"	"1.33"	7	1.29	1.22	0.21
21457	"Beaugency-Tavers"	"France"	47.783	1.633	15.3	16.4	14.2	"mn5"	"mn5"	"1.33"	3	1.33	1.32	0.28
21458	"Crastes"	"France"	43.733	0.733	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
20235	"Eibiswald"	"Austria"	46.687	15.247	15.3	16.4	14.2	"mn5"	"mn5"	"1.20"	5	1.2	1.18	0.15
20239	"Georgensgmünd"	"Germany"	49.19	11.017	15.3	16.4	14.2	"mn5"	"mn5"	"1.25"	8	1.25	1.26	0.15
20010	"Pontlevoy"	"France"	47.4	1.2	15.3	16.4	14.2	"mn5"	"mn5"	"1.08"	12	1.08	1.09	0.09
21674	"Réaup"	"France"	44.083	0.2	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
27288	"Lublé MN5"	"France"	47.5147863	0.2449227	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	4	1	1	0
20405	"Münzenberg (Leoben)"	"Austria"	47.4	15.1	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
20095	"Faluns of Touraine & Anjou"	"France"	45.5	4.5	15.3	16.4	14.2	"mn5"	"mn5"	"1.38"	6	1.5	1.46	0.29
20300	"La Retama"	"Spain"	40.1	-2.7	15.3	16.4	14.2	"mn5"	"mn5"	"1.29"	6	1.33	1.31	0.31
20330	"Rothenstein 1"	"Germany"	51.117	7.683	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	7	1	1	0
21700	"Manciet base"	"France"	43.817	0.5	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
21736	"Langhian Sables Fauves"	"France"	43.5	0.5	15.3	16.4	14.2	"mn5"	"mn5"	"1.33"	3	1.33	1.33	0.25
26699	"Paseo de la Esperanza 7"	"Spain"	40.4	-3.68333333333333	15.3	16.4	14.2	"mn5"	"mn5"	"1.67"	3	1.67	1.72	0.52
21754	"PAR-Peñuelas (Madrid)"	"Spain"	40.4001678054621	-3.70460609105987	15.2025	15.59	14.815	"aragoniansubzonedc"	"aragoniansubzonedc"	"1.40"	5	1.4	1.42	0.37
20283	"Devínská Nová Ves - Fissures"	"Slovakia"	48.2	17.017	15	15.4666666666667	14.5333333333333	"badenian"	"badenian"	"1.08"	13	1.08	1.08	0.09
26546	"Lucane"	"Croatia"	43.7019444444445	16.6255555555556	14.9675	15.16	14.775	"c5bn.2n"	"c5bn.1n"	"1.00"	3	1	1	0
22491	"Grund"	"Austria"	48.6380555555556	16.0641666666667	14.75	15.3	14.2	"mn5"	"mn5"	"1.00"	6	1	1	0
21285	"Hambach 6C"	"Germany"	50.9	6.45	14.5666666666667	14.9333333333333	14.2	"mn5"	"mn5"	"1.00"	12	1	1	0
23287	"Candir (Loc. 3)"	"Turkey"	40.245	33.4867	13.7165	14.07	13.363	"c5acn"	"c5abn"	"1.35"	17	1.33	1.37	0.19
27274	"Alhambra-Túneles"	"Spain"	40.4047385461321	-3.72260570526123	13.525	14.2	12.85	"mn6"	"mn6"	"1.20"	7	1.2	1.22	0.18
20597	"Arroyo del Val VI"	"Spain"	41.1756	-1.4466	13.525	14.2	12.85	"mn6"	"mn6"	"1.33"	3	1.33	1.33	0.25
20205	"Inönü I (Sinap 24A)"	"Turkey"	40.53	32.64	13.525	14.2	12.85	"mn6"	"mn6"	"1.38"	14	1.36	1.36	0.18
21243	"La Barranca"	"Spain"	40.75	-4.017	13.525	14.2	12.85	"mn6"	"mn6"	"1.33"	3	1.33	1.32	0.27
20040	"Manchones 1"	"Spain"	41.1738	-1.4431	13.525	14.2	12.85	"mn6"	"mn6"	"1.17"	7	1.17	1.2	0.17
21579	"Manchones 2"	"Spain"	41.1738	-1.4431	13.525	14.2	12.85	"mn6"	"mn6"	"1.20"	6	1.2	1.2	0.17
20042	"Paracuellos 3"	"Spain"	40.4886111111111	-3.52638888888889	13.525	14.2	12.85	"mn6"	"mn6"	"1.09"	12	1.09	1.09	0.1
20038	"Paracuellos 5"	"Spain"	40.5277777777778	-3.53	13.525	14.2	12.85	"mn6"	"mn6"	"1.10"	10	1.1	1.1	0.09
20003	"Pasalar"	"Turkey"	39.9768	28.3071	13.525	14.2	12.85	"mn6"	"mn6"	"1.30"	21	1.32	1.32	0.15
24292	"Bonlanden"	"Germany"	48.0677777777778	10.0697222222222	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	3	1	1	0
20098	"Liet"	"France"	43.952596	0.4992851	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	8	1	1	0
20273	"Rümikon"	"Switzerland"	47.4991666666667	8.78444444444444	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	7	1	1	0
20002	"Sansan"	"France"	43.9	-0.5	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	23	1	1	0
20115	"Schwamendingen"	"Switzerland"	47.3983333333333	8.57388888888889	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	4	1	1	0
20242	"Stätzling"	"Germany"	48.4	10.967	13.525	14.2	12.85	"mn6"	"mn6"	"1.05"	20	1.05	1.07	0.05
20243	"Thannhausen"	"Germany"	48.3	11.5	13.525	14.2	12.85	"mn6"	"mn6"	"1.13"	16	1.12	1.13	0.09
21325	"Uzwil-Nutzenbuech"	"Switzerland"	47.4405555555556	9.15277777777778	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	4	1	1	0
21725	"Miélan"	"France"	43.433	0.317	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	4	1	1	0
27276	"Moraleja de Enmedio"	"Spain"	40.2603291	-3.8614119	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	5	1	1	0
20120	"Steinberg"	"Germany"	48.8269444444445	10.6227777777778	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	3	1	1	0
20154	"Gallenbach 2b"	"Germany"	48.4025	11.0788888888889	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	5	1	1	0
24615	"Gisseltshausen 1a"	"Germany"	48.1969	12.0297	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	4	1	1	0
24616	"Gisseltshausen 1b"	"Germany"	48.1969444444444	12.0303	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	6	1	1	0
20407	"Prebreza"	"Serbia and Montenegro"	43.19	21.15	13.525	14.2	12.85	"mn6"	"mn6"	"1.40"	6	1.4	1.42	0.35
20041	"Arroyo del Val"	"Spain"	41.1756	-1.4466	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	5	1	1	0
21720	"Haulies"	"France"	43.567	0.667	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	9	1	1	0
21723	"Lussan"	"France"	43.633	0.733	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	3	1	1	0
21072	"Chatzloch"	"Switzerland"	46.9811111111111	7.85	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	3	1	1	0
27275	"Henares 1"	"Spain"	40.4166909	-3.7003454	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	5	1	1	0
27338	"Mettlen 4"	"Switzerland"	47.5238888888889	9.11777777777778	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	3	1	1	0
21645	"Wiesholz"	"Switzerland"	47.7055555555556	8.83777777777778	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	3	1	1	0
20009	"Castelnau-d'Arbieu"	"France"	43.883	0.7	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	9	1	1	0
27277	"Paracuellos 2"	"Spain"	40.4166909	-3.7003454	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	5	1	1	0
20402	"Elgg"	"Switzerland"	47.5	8.867	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	5	1	1	0
22362	"Murero"	"Spain"	41.167	-1.483	13.525	14.2	12.85	"mn6"	"mn6"	"1.00"	4	1	1	0
23445	"Ayibaligi mevkii"	"Turkey"	38.529	26.625	13.525	14.2	12.85	"mn6"	"mn6"	"3.00"	3	3	3	0
27278	"Toril 3A"	"Spain"	41.1333333333333	-1.38333333333333	12.575	12.85	12.3	"mn7-8"	"mn7-8"	"1.00"	12	1	1	0
24828	"Toril 3B"	"Spain"	41.1333333333333	-1.38333333333333	12.575	12.85	12.3	"mn7-8"	"mn7-8"	"1.00"	9	1	1	0
20169	"Krivoj Rog"	"Ukraine"	47.9	28.5	12.55	13.6	11.5	"sarmatian"	"sarmatian"	"1.50"	3	1	1	0
28760	"Gratkorn"	"Austria"	47.1372222222222	15.3488888888889	12.1125	12.2	12.025	"sarmatian"	"sarmatian"	"1.08"	13	1.08	1.1	0.09
27884	"St. Stefan im Lavanttal"	"Austria"	47.1375	15.3486111111111	12.1115	12.174	12.049	"c5an.1n"	"c5an.1n"	"1.00"	4	1	1	0
21327	"Petersbuch 6"	"Germany"	48.9911	11.2	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	3	1	1	0
23526	"Sofca"	"Turkey"	39.646	30.179	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.46"	14	1.46	1.44	0.23
23272	"Yaylacilar"	"Turkey"	38.775	30.647	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"2.00"	3	2.33	2.35	0.51
21002	"Hostalets de Pierola Inferior"	"Spain"	41.5341644	1.7659521	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	16	1	1	0
20277	"Klein Hadersdorf"	"Austria"	48.6	16.6	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.14"	7	1.14	1.13	0.12
20004	"La Grive St. Alban"	"France"	45.6005326	5.232575	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.11"	19	1.11	1.1	0.08
20151	"Locle"	"Switzerland"	47.067	6.75	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.33"	3	1.33	1.32	0.25
23591	"Saricay"	"Turkey"	37.331	27.794	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.17"	6	1.17	1.2	0.16
21358	"Mannersdorf"	"Austria"	48	16.5	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.43"	6	1.5	1.46	0.3
21735	"Poudenas-Cayron"	"France"	44.05	0.217	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	9	1	1	0
21245	"Toril 3"	"Spain"	41.133	-1.383	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.67"	4	1.67	1.58	0.56
20217	"Yeni Eskihisar 1"	"Turkey"	37.317	28.077	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"2.00"	3	2	1.99	0.47
20046	"Can Almirall"	"Spain"	41.387917	2.1699187	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	5	1	1	0
20047	"Masquefa"	"Spain"	41.5030659	1.8119265	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	4	1	1	0
20045	"Sant Quirze"	"Spain"	41.525	2.0861	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	19	1	1	0
20600	"Anwil"	"Switzerland"	47.4516666666667	7.94305555555556	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	10	1	1	0
21326	"Helsighausen"	"Switzerland"	47.6416666666667	9.06083333333333	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	7	1	1	0
20247	"Przeworno 2"	"Poland"	50.7	17.2	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	6	1	1	0
21704	"Saint-Gaudens (Valentine)"	"France"	43.1	0.717	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	10	1	1	0
20001	"Steinheim am Albuch"	"Germany"	48.6864	10.0622	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.07"	16	1.07	1.07	0.07
20105	"Can Feliu"	"Spain"	41.5313808	2.07762779999996	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	6	1	1	0
21717	"Hachan"	"France"	43.283	0.45	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	3	1	1	0
21371	"La Cisterniga"	"Spain"	41.617	-4.681	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	5	1	1	0
27303	"La Grive L3"	"France"	45.6078	5.2206	12.025	12.85	11.2	"mn7-8"	"mn7-8"	"1.00"	12	1	1	0
