"LIDNUM"	"NAME"	"COUNTRY"	"LAT"	"LONG"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"BFA_MAX"	"BFA_MIN"	"MEAN_HYPSODONTY"	"n_loc"	"mn_HYP"	"mn_HYP_boo"	"sd_HYP_boo"
21004	"Belchatow C"	"Poland"	51.25	19.333	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
20032	"Córcoles"	"Spain"	40.483	-2.65	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	10	1	1	0
20077	"Artesilla"	"Spain"	41.183	-1.5	16.8	17.2	16.4	"mn4"	"mn4"	"1.10"	10	1.1	1.1	0.1
24412	"Baggersee Freudenegg 3"	"Germany"	48.3333	10.0106	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	6	1	1	0
20007	"Bézian"	"France"	43.9913431	0.4780953	16.8	17.2	16.4	"mn4"	"mn4"	"1.08"	13	1.08	1.07	0.08
20014	"Buñol"	"Spain"	39.4277777777778	-0.794444444444444	16.8	17.2	16.4	"mn4"	"mn4"	"1.07"	14	1.07	1.07	0.07
20029	"Can Canals"	"Spain"	41.4728881	1.7809935	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	15	1	1	0
27320	"Chêne de Navère"	"France"	43.9339997	0.6198052	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	4	1	1	0
24295	"Eggingen-Mittelhart 3"	"Germany"	48.3633	9.8789	16.8	17.2	16.4	"mn4"	"mn4"	"1.11"	16	1.12	1.13	0.09
20027	"El Canyet"	"Spain"	41.453606	1.996083	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	9	1	1	0
20008	"La Romieu"	"France"	44.2	0.9	16.8	17.2	16.4	"mn4"	"mn4"	"1.05"	19	1.05	1.06	0.06
27319	"La Romieu superior"	"France"	44.2	0.9	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	7	1	1	0
20016	"Langenau 1"	"Germany"	48.4855555555556	10.0997	16.8	17.2	16.4	"mn4"	"mn4"	"1.21"	14	1.21	1.22	0.16
21120	"Oberdorf 4 (O4)"	"Austria"	47.0752777777778	15.1513888888889	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	5	1	1	0
21315	"Pellecahus"	"France"	43.867	0.533	16.8	17.2	16.4	"mn4"	"mn4"	"1.29"	14	1.29	1.28	0.15
20006	"Artenay"	"France"	48.0773	1.8583	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	13	1	1	0
21473	"Chevilly"	"France"	48.033	1.883	16.8	17.2	16.4	"mn4"	"mn4"	"1.14"	7	1.14	1.13	0.13
20012	"Erkertshofen 2"	"Germany"	48.9797	11.2072222222222	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	8	1	1	0
20410	"Langenau 2"	"Germany"	48.5	10.1	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	7	1	1	0
28950	"Mokrá Quarry 1/2001 Turtle Joi"	"Czech Republic"	49.2318466625905	16.751262241132	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	5	1	1	0
28951	"Mokrá Quarry 2/2003 Reptile Jo"	"Czech Republic"	49.2318572825852	16.7512645062541	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	4	1	1	0
21225	"Montreal-du-Gers"	"France"	43.95	0.2	16.8	17.2	16.4	"mn4"	"mn4"	"1.33"	15	1.33	1.31	0.14
21119	"Oberdorf 3 (O3)"	"Austria"	47.0752777777778	15.1513888888889	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
20403	"Petersbuch 2"	"Germany"	48.9775	11.1980555555556	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	13	1	1	0
27731	"Petersbuch 8"	"Germany"	48.9776779	11.1862984	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	6	1	1	0
20485	"Armantes 1"	"Spain"	41.3891	-1.6968	16.8	17.2	16.4	"mn4"	"mn4"	"1.20"	9	1.22	1.24	0.23
23449	"Akcahisar 1"	"Turkey"	38.058	27.626	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	5	1	1	0
20028	"Can Mas"	"Spain"	41.5209566	1.7690501	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
24411	"Baggersee Freudenegg 2"	"Germany"	48.3333	10.0106	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	4	1	1	0
22355	"Munébrega 3"	"Spain"	41.259	-1.6911	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	5	1	1	0
21346	"Quinta da Farinheira"	"Portugal"	38.717	-9.133	16.8	17.2	16.4	"mn4"	"mn4"	"1.67"	3	1.67	1.68	0.57
20486	"Munébrega 1"	"Spain"	41.2551	-1.689	16.8	17.2	16.4	"mn4"	"mn4"	"1.29"	6	1.33	1.31	0.32
24674	"Torralba 1"	"Spain"	41.4262	-1.6737	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
21284	"Valtorres"	"Spain"	41.2936	-1.7216	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	4	1	1	0
28855	"la Vinya Vella"	"Spain"	41.548587	1.847137	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
21293	"Rubielos del Mora"	"Spain"	40.183	-0.667	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
22354	"Munébrega 2"	"Spain"	41.2578	-1.6894	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
22353	"Munébrega AB"	"Spain"	41.25	-1.7	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
20069	"Lisboa V"	"Portugal"	38.44	-9.08	16.8	17.2	16.4	"mn4"	"mn4"	"1.00"	3	1	1	0
20412	"Engelswies"	"Germany"	48.033	9.133	16.4055	16.543	16.268	"c5cn.2r"	"c5cn.1r"	"1.00"	10	1	1	0
20031	"Les Cases de la Valenciana"	"Spain"	41.429141	1.855117	16.3925	16.56	16.225	"aragoniansubzoneca"	"aragoniansubzoneca"	"1.17"	6	1.17	1.17	0.15
21522	"Can Julià"	"Spain"	41.42519	1.847288	16.3925	16.56	16.225	"aragoniansubzoneca"	"aragoniansubzoneca"	"1.17"	6	1.17	1.16	0.16
21224	"Els Casots"	"Spain"	41.4159822217282	1.8116811767733	16.08	16.225	15.935	"aragoniansubzonecb"	"aragoniansubzonecb"	"1.00"	12	1	1	0
20026	"Sant Mamet"	"Spain"	41.481619	2.056749	16.08	16.225	15.935	"aragoniansubzonecb"	"aragoniansubzonecb"	"1.00"	9	1	1	0
24682	"Arroyo del Olivar"	"Spain"	40.3861	-3.65	15.3	16.4	14.2	"mn5"	"mn5"	"1.25"	4	1.25	1.26	0.2
21237	"Chios"	"Greece"	38.368	26.136	15.3	16.4	14.2	"mn5"	"mn5"	"1.38"	7	1.5	1.49	0.29
26696	"Estación Imperial (Madrid)"	"Spain"	40.4	-3.68333333333333	15.3	16.4	14.2	"mn5"	"mn5"	"1.50"	6	1.5	1.49	0.31
21223	"La Hidroelectrica Madrid"	"Spain"	40.25	-3.43	15.3	16.4	14.2	"mn5"	"mn5"	"1.23"	13	1.23	1.23	0.14
27273	"Los Nogales"	"Spain"	40.4026878839155	-3.70892643928528	15.3	16.4	14.2	"mn5"	"mn5"	"1.38"	8	1.38	1.34	0.24
20036	"Moratines"	"Spain"	40.5	-3.5	15.3	16.4	14.2	"mn5"	"mn5"	"1.43"	7	1.43	1.47	0.29
20037	"O'Donnell"	"Spain"	40.4427777777778	-3.5903	15.3	16.4	14.2	"mn5"	"mn5"	"1.20"	5	1.2	1.2	0.2
26698	"Paseo de la Esperanza"	"Spain"	40.4	-3.68333333333333	15.3	16.4	14.2	"mn5"	"mn5"	"1.38"	8	1.38	1.38	0.26
21755	"Paseo de las Acacias (Madrid)"	"Spain"	40.4	-3.68333333333333	15.3	16.4	14.2	"mn5"	"mn5"	"1.38"	8	1.38	1.35	0.24
20576	"Puente de Toledo"	"Spain"	40.383	-3.7	15.3	16.4	14.2	"mn5"	"mn5"	"1.38"	8	1.38	1.38	0.24
20015	"Puente de Vallecas"	"Spain"	40.2	-3.5	15.3	16.4	14.2	"mn5"	"mn5"	"1.23"	13	1.23	1.23	0.17
24690	"San Isidro"	"Spain"	40.4042	-3.73333333333333	15.3	16.4	14.2	"mn5"	"mn5"	"1.20"	5	1.2	1.18	0.15
24327	"Somosaguas Norte"	"Spain"	40.4308333333333	-3.78861111111111	15.3	16.4	14.2	"mn5"	"mn5"	"1.33"	6	1.33	1.32	0.2
20843	"Thymiana B"	"Greece"	38.315	26.134	15.3	16.4	14.2	"mn5"	"mn5"	"1.43"	6	1.6	1.49	0.35
27820	"Armantes 3"	"Spain"	41.361	-1.7269	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	4	1	1	0
20429	"Belometchetskaja"	"Russia"	44.6	42	15.3	16.4	14.2	"mn5"	"mn5"	"1.22"	15	1.15	1.16	0.15
27473	"Birosse"	"France"	43.8951412	0.6907749	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	9	1	1	0
24289	"Edelbeuren-Maurerkopf"	"Germany"	48.0956	10.0322	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	5	1	1	0
20236	"Enghausen"	"Germany"	48.09	12.27	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	5	1	1	0
23528	"Karaagac 1"	"Turkey"	39.022	30.042	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
27758	"Oggenhausen 1"	"Germany"	48.6805305928508	10.2411621809006	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	4	1	1	0
20238	"Ziemetshausen 1b"	"Germany"	48.3	10.5	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	9	1	1	0
27279	"Auverse MN5"	"France"	47.5180122347786	0.0520133972167969	15.3	16.4	14.2	"mn5"	"mn5"	"1.07"	15	1.07	1.06	0.06
20005	"Baigneaux-en-Beauce"	"France"	48.1	2.15	15.3	16.4	14.2	"mn5"	"mn5"	"1.07"	15	1.07	1.08	0.06
27280	"Breil MN5"	"France"	47.4751139	0.1571317	15.3	16.4	14.2	"mn5"	"mn5"	"1.06"	16	1.06	1.06	0.06
27748	"Buchberg-Erlistrasse 88"	"Switzerland"	47.5742482	8.5553038	15.3	16.4	14.2	"mn5"	"mn5"	"1.00"	3	1	1	0
27281	"Channay-sur-Lathan MN5"	"France"	47.4796598	0.2630479	15.3	16.4	14.2	"mn5"	"mn5"	"1.04"	24	1.04	1.04	0.04
27282	"Chavaignes MN5"	"France"	47.5410295	0.0369747	15.3	16.4	14.2	"mn5"	"mn5"	"1.09"	11	1.09	1.09	0.07
